,index,question,topic
764,764,When compiling to managed code  the compiler translates your source code into Microsoft intermediate language MSIL  which is a CPUindependent set of instructions that can be efficiently converted to native code Intermediate Language is a binary assembly language that is compiled at runtime down to whatever machine language is appropriate for the host CPU This runtime compilation is called JustInTime Compiling or JITcompiling,Instruction pipelining
765,765,In unmanaged environments the compiler and linker directly compile the source code in to native instructions that are targeted at a specific processor The disadvantage of this process is that each time you want to run your executable on a different platform you will have to recompile the code using a compiler and linker that will compile the code that is targeted at the specific hardware This means that each time you want your application to run on a different platform  you will have to ship the compiled instructions again and again As this leads to compiling and maintaining multiple versions of the same application  the companies try to create a more generalized compiled version in order to target most of the environments This process is known as the Lowest Common Denominator approach This leads to a more generalized program which is not optimized properly and does not take advantages of the underlying hardware infrastructure processor  cache  etc Because the CLR supplies one or more Just in Time Compiler for each computer architecture it supports  the same set of MSIL can be JITcompiled and run on any supported architecture,Number representations and computer  arithmetic
766,766,In a interface class  all methods are abstract without implementation where as in an abstract class some methods we can define concrete In interface  no accessibility modifiers are allowed An abstract class may have accessibility modifiers Interface and abstract class are basically a set of rules which u have to follow in case u r using theminheriting them,O interface
767,767,How would variation of traffic over a typical work week or floor or time of day affect this,Asymptotic  worst  case  time  and  space  complexity
768,768,write the program to clean a stair case in any building,Asymptotic  worst  case  time  and  space  complexity
769,769,In technical round  I was asked about the properties of OOPS I was given a program in which you have to print the characters of a string whose number of occurrence is more than 2 SQL query for second highest salary from an employee table was also asked Then I tried to convince the interviewer that I am very much interested in joining Mindtree He was very frank and told me about some of the projects they are working on He asked about my strength and weakness I asked about his journey in Mindtree and I also asked him to tell me how my interview went  in reply to which he said it went pretty well Everyone was eligible for the HR round In HR interview  he asked me about my family background  places in India where I had visited  best and worst thing about the college etc,Number representations and computer  arithmetic
770,770,In this round the test consist of questions from aptitude Time  work  Time  distance  area  probability and permutation   Reasoning Syllogism  blood relation  series completion and analogies   English 2 Passage simple   antonyms  synonyms and basic grammar questions The test was quite easy just practice the examples of RS Agarwal  it is sufficient enough to crack the test Moreover this is an Adaptive Test so time management is required,Asymptotic  worst  case  time  and  space  complexity
771,771,In this test we were given two programming questions one easy and another one average Dont try to solve both the questions Since the time limit is less so just try to develop the logic of the problem and solve at least one problem completely and other one just code the logic part However you need to be a good coder in order to crack this test,Asymptotic  worst  case  time  and  space  complexity
772,772,Why your communication skills are weak Yes sir I do agree but I can say that I have improved a lot compared to previous month So what have you done to improve your communication skills  I used to talk to friends and relatives in English whenever there is any possibility and they even say that you have improved a lot compared to previous Ok thats fine Then comes technical qsns like how did you done your program yesterday  I have done my best in given time How many times you have compiled it I have done 34 times But report says that You have done 13 times Yes sir I have done it as there might b small editings Oh Kk are there any errors Yes sir one or two But I have tried it in a different manner after going home I have shown it by writing on paper and explained how it works He was impressed He asked some questions on that I have answered them by the knowledge what I have Ok thats fine,Asymptotic  worst  case  time  and  space  complexity
773,773,If you are not from CSEIT I would suggest dont waste your time by studying your core subjects  because they only concentrate on CCJava,Asymptotic  worst  case  time  and  space  complexity
774,774,When d result time arrived  d names were called who were supposed to be ready for interview round where HR and technical rounds were merged into one Out of 150 students who appeared for written only 65 managed to go through the first hurdle I was one of the lucky students,Asymptotic  worst  case  time  and  space  complexity
775,775,How does the scheduler know the time how it should be scheduled,Asymptotic  worst  case  time  and  space  complexity
776,776,In my case I had given a topic on woman harassment  I didnt bother about the topic I just make sure that I am highlighting words like woman and harassment and constructed my sentence by using words given in the versant test paper I got 53 marks out of 80,Asymptotic  worst  case  time  and  space  complexity
777,777,In this they will provide you a sheet  in that there are 12 sentences for part A We had time to prepare that sentences,Asymptotic  worst  case  time  and  space  complexity
778,778,In this Part Few Question came From ProfitLoss  Speed Distance  Time  Number System  Percentage  Few Question were From Logarithm,Number representations and computer  arithmetic
779,779,In the first round they have asked from C  Java  C  Data Structure and DBMS The questions are conceptual and if you have the concept clear then it will be easy for you The questions are like representation of tree or linked list using C  SQL query like joining  complexity analysis of a C program  any C program  method overloading from java  use of super keyword in java  why we use Btree  string length calculation using pointer  etc,Number representations and computer  arithmetic
780,780,In GD 10 per batch they will give each one seperate topic n gave 2 mins in that 2 mins 1 min to think about n remaining time to speak about it I got the topic Should smoking be banned in this round only 20 out of 56 were sent to the next round,Asymptotic  worst  case  time  and  space  complexity
781,781,In total there was 170ques n time is 2 hrs so time management is very crucial it is very imp that u give atleast 1 go to all ques,Asymptotic  worst  case  time  and  space  complexity
782,782,If nowadays we have High voltage insulation systems say XLPE which take up very little space  then why dont we go for higher generating voltages,Asymptotic  worst  case  time  and  space  complexity
783,783,When you changes the Existing value to null  the Onvalidate field trigger will fire post change trigger will not fire At the time of executequery postchange trigger will fire  onvalidate field trigger will not fire,Asymptotic  worst  case  time  and  space  complexity
784,784,In that 7 Appeared three times,Asymptotic  worst  case  time  and  space  complexity
785,785,In our case  db_block_buffers was changed from 60 to 1000 std values are 60  550  3500 shared_pool_size was changed from 35MB to 9MB std values are 35  5  9MB open_cursors was changed from 200 to 300 std values are 200  300 db_block_size was changed from 2048 2K to 4096 4K at the time of database creation,Asymptotic  worst  case  time  and  space  complexity
786,786,If you insert a row in a table  then create another table and then say Rollback In this case will the row be inserted ,Asymptotic  worst  case  time  and  space  complexity
787,787,If unfortunately u r not able to speak in GD  I advise make use of these kind of golden opportunities and try to put a healthy conclusion dont wait for it u may not get a chance for conclusion so try to speak in GD itself many time the persons who conclude in good manner gets selected,Asymptotic  worst  case  time  and  space  complexity
788,788,In GD  there were totally 9 batches Each batch consisted of 9 candidates The topic given to our batch was Why are we not able to excel in other industries as we are in Software Industry The candidates in my batch were dominating to say the least At one point of time some 2 or 3 guys were simultaneously shouting for nearly 30 seconds And no wonder both were not shortlisted So the keypoint here is dont try to dominate others in GD Utilize the opportunity when you get one Finally  5 from each batch were shortlisted for the final TechnicalcumHR round So totally 45 candidates were shortlisted and I was one among them ,fixed and floating point
789,789,In Apps  verbal s very easy then comes reasoning it used 2 take time but understanding d concept s matters then quants PROFIT AND LOSS  PERCENTAGES  RATIOS all r from RS AGARWAL only so don neglect those topics time provide matter 4 u so manage d time,Asymptotic  worst  case  time  and  space  complexity
790,790,In quantitative section problems are generaly from time and work  time and distance  speed of train etc this part is also very easy and again rs aggarwal is enough for it,Asymptotic  worst  case  time  and  space  complexity
791,791,In group discussion they have given the topic Swatch Bharat  but they have divided the groups based on alphabetical order  so I was the last member in my group First they asked us to give the individual opinions for 2 mins  I have no points to tell because all the points were covered by other group members  somehow I have managed Second they asked to start GD  here their is chance to add some points if you have missed in the first time  I have done well in this round and was selected for interview Remember do speak but without grammatical mistakes and with confidence In a group of 12 they have selected 11 members  that shows only what matters is to speak so that you can crack GD,fixed and floating point
792,792,In Aptitude section  the questions were from all chapters in RSAggarwal The questions were asked only from that book and even the data were not changed The questions were not from the example part but the problems part Questions from Time  Work  Time  Distance  Partnership  Train  Boats  Streams  Pipes were all there,Asymptotic  worst  case  time  and  space  complexity
793,793,How many times does the loop executes,Asymptotic  worst  case  time  and  space  complexity
794,794,In 1st section there was 35 quest from technical and and rest 25 quest was general aptitude which was under 2nd section And time allotted was 60 min all over,Asymptotic  worst  case  time  and  space  complexity
795,795,In this round I was asked mainly on my project  C write code for string concatenation  strcpy etc using pointers also I was asked to write a C code to set a particular bit the bit number to be taken from the input use left shift operator and about 8051 and basics of control systems and basics of AD DA converter  a question on Malloc and Calloc  one puzzle to test ur problem solving capability For me they had asked what is the angle between hour and minute Hand when the time is 315 and also they asked me to interchange two variables without using the third variable and it went for more than an hour finally they gave me 7 out of 10 which means that u can join the company but requires 1 month of training to pickup Any ways I cleared the first round,Number representations and computer  arithmetic
796,796,If you are in time then the chance of your selection is more,Asymptotic  worst  case  time  and  space  complexity
797,797,Which movie you seen last time and what u like in it and why,Asymptotic  worst  case  time  and  space  complexity
798,798,In my case it was nothing it also depend on ur perfomance in technical interview its just a formality to b completed but they put weightage on percentage marks in 10 12 btech,Asymptotic  worst  case  time  and  space  complexity
799,799,how many times does the loop will be executed,Asymptotic  worst  case  time  and  space  complexity
800,800,In my case HR was head of the panel and he was asking puzzles and technical questions too,Asymptotic  worst  case  time  and  space  complexity
801,801,In my case all rounds were combined  therefore I have faced only one panel,Combinational  and  sequential  circuits
802,802,Write the given word or phrase first Then try write the email as filling the blanks No need to waste your time in writing subject of the mail,Asymptotic  worst  case  time  and  space  complexity
803,803,In the hall ticket  everything about the date  time  and venue of the written test were mentioned My venue was in Regent Education  Research Foundation  Barrackpore  Kolkata So please reach in time in your mentioned venue,Asymptotic  worst  case  time  and  space  complexity
804,804,If you clear the aptitude  you have 70 chance to get in Aptitude is of average difficulty and needs a lot of practice to make time management possible Aptitude includes verbal and nonverbal reasoning  quantitative  logical  comprehension  articles  synonyms and antonyms,Asymptotic  worst  case  time  and  space  complexity
805,805,In round 1  the exam pattern contains 75 questions of 7 sections  time allotted for this is 50 minutes remember there is a sectional cutoff which is 60,Asymptotic  worst  case  time  and  space  complexity
806,806,In the quantitative section  there were 15 numerical based on partnerships  profit and loss  time and distance etc There were 5 questions from picture series and other questions from blood relations  analogy  reasoning etc,Asymptotic  worst  case  time  and  space  complexity
807,807,What are the characteristics of Real time OS,Asymptotic  worst  case  time  and  space  complexity
808,808,What is best data structure to store the processes info in a real time,Asymptotic  worst  case  time  and  space  complexity
809,809,how many times you need to weigh to find out the odd ball,Asymptotic  worst  case  time  and  space  complexity
810,810,In Technical Ability Unnecessary code will be given to waste time  do small things first and go for huge codes and it will be easy as C Unix will be in this round But this round has more weightagemarks So concentrate on this round,Asymptotic  worst  case  time  and  space  complexity
811,811,In Reading ability we will be given a 3 page material and 10 minutes time to read thatThe time they will give for this round will not be sufficient  even though we have to do that Then afterwards  they will take the material and give us 10 qns on that material  we have to ans those qns by rememberence,Asymptotic  worst  case  time  and  space  complexity
812,812,Write a prg to accept two time stamps in the given format HHMMSS,Asymptotic  worst  case  time  and  space  complexity
813,813,If you qualified in all above sections then you get essay writing on screen otherwise  you can leave In that situation when my time is running out I got tense whether I can get an essay or I have to leave In that situation  I got essay writing on a screen After writing essay they asked us to wait in auditorium for results And I was shortlisted for technical interview They asked us to come at 930 the next day,Asymptotic  worst  case  time  and  space  complexity
814,814,How much time it enters function,Asymptotic  worst  case  time  and  space  complexity
815,815,4Then why Zensar  One of the greatest victories you can gain over someone is to beat him at politeness  thats what I have done at that time,Asymptotic  worst  case  time  and  space  complexity
816,816,In Aptitude there were easy questions from topics like profitloss  average  series  syllogism etc but this section was time consuming so try to do faster,Asymptotic  worst  case  time  and  space  complexity
817,817,In a digital circuit which was to implement A B  AXORB  the designer implements A B AXORB What is the probability of error in it ,Combinational  and  sequential  circuits
818,818,write an algorithm  to find if two binary trees are same,trees
819,819,Describe an optimal algorithm to find the second minimum number in an array of numbers What is the exact number of comparisons required in the worst case Note that they didnt ask the order in BigOh notation They wanted the exact number of comparisons,Number representations and computer  arithmetic
820,820,Which of the followings pairs of Telemetry situations and Modulation techniques and conditions is correctly matched,Algorithm design techniques
821,821,In technical I was asked why I wanted Dell  Recent thing that I have learnt I told them about my summer internship and what new technology I learnt there He then asked me how can I design an application which can take feedback from the customers periodically,Algorithm design techniques
822,822,which revolved around all the technical stuff that u could possibly dream of U could be asked to design a module and then implement it on the computer Mind u they not only check ur basics but penetrate to the insights of the topics aswell They may also ask u puzzles to check how logically strong u are,Algorithm design techniques
823,823,what are the different designations in software industry which position you opt for and why did you know six sigma rules   what they for  can you tell them  there ended first interview,Algorithm design techniques
824,824,when head is moving back and forth  the disk scheduling algorithm is _____,Algorithm design techniques
825,825,In public key algorithm   A wants to send message to B  which key is,Algorithm design techniques
826,826,What is Function Point  Ans SW estimation technique,fixed and floating point
827,827,Write the algorithm for Quick sort,Algorithm design techniques
828,828,What is the name of the programming technique  which emphasizes breaking large and complex tasks into successively smaller sections,Asymptotic  worst  case  time  and  space  complexity
829,829,What is the difference between algorithm and program,Algorithm design techniques
830,830,In both interview they ask questions from CC  Java  OS  Data structure and algorithms  Microprocessors and compiler constructions With this  they also asked me to develop more than 6 to 8 programs You can develop all programs in 5 to 7 minutes But after writing program they asked to find its complexity and try to reduce the complexity and write the program again In this way it took almost 15 to 20 min for each program Some took less than 15 minutes also,Asymptotic  worst  case  time  and  space  complexity
831,831,If you are designing multiple instances  you will want to specify the amount of RAM that each has access to If you do not do this  performance can vary dramatically as the servers compete for memory,Algorithm design techniques
832,832,What algorithm is used to encrypt the Database Master Key when it is created,Algorithm design techniques
833,833,How would you design a toaster,Algorithm design techniques
834,834,How would you design an universal remote control,Algorithm design techniques
835,835,How would you design a clock for a blind person,Algorithm design techniques
836,836,Give me an algorithm to shuffle a deck of cards  given   that the cards are stored in an array of ints,Arrays
837,837,which number it is The condition is the algorithm you choose should be,Number representations and computer  arithmetic
838,838,Describe ur algorithm based on memory and speed,Memory  hierarchy
839,839,Give me an algorithm to shuffle a deck of cards  given that the cards are stored in an array of ints,Arrays
840,840,How would you design a coffeemachine for an automobile,Algorithm design techniques
841,841,Which of the following technique fails in evaluating the Nonconventional Investments,Algorithm design techniques
842,842,Write a searching technique in c,binary  search trees
843,843,If you get through the first two rounds  85 you will be get selected if you have good communication skills When I attended the interview  as Im from a CSE background  he directly started asking me the technical questions Didnt even ask me to introduce myself He had thrown me a big question to answer like he asked me to say about the subjects starting from C language to Computer Graphics I started from C  Data structures  Java  Dbms  Computer networks  Operating systems  Theory of computations  Compiler design and Computer graphics saying about what are the topics present  functionality  uses etc He was well impressed by the way I answered He had thrown a puzzle on aptitude question which I was unable to answer But he explained me the logic later He asked few more questions on OS and Computer networks I almost answered all the questions Finally asked about joins in DBMS I explained He appreciated me He cracked a few jokes too And he immediately said that Im selected to next level Happy to hear those words,Number representations and computer  arithmetic
844,844,In this section a big programme of around 2 to 3 pages was given and related to the programe 5 questions are asked Please dont go through the entire programme just see the questions first and observe what part of the programme is really needed to answer that question,dynamic programming and divide?and?conquer
845,845,In Tech interview they told us to write some program without using library function then they asked me what is my fav subject As I said microprocessor they asked me how to do matrix multiplication with its instruction some features of Java,dynamic programming and divide?and?conquer
846,846,In Technical Round first every one was given a few C programming puzzles and were asked to solve Most of the problems were on string operation and some on sorting the elements of the array The interviewer also asked the mechanism of how the problem is solved,sorting
847,847,In unix questions are prepare all commons with more examples because they are given so practical questions Sql is tight and prepare select command is very important Sql programs is given and you answers the output C is also answered the output for programs,dynamic programming and divide?and?conquer
848,848,Write program for second maximum salary,dynamic programming and divide?and?conquer
849,849,Write down program snippet for Fibonacci series recursive,dynamic programming and divide?and?conquer
850,850,In the beginning you have to select any programming language like C  C  Java I appeared for C and the questions are easy Time  more than sufficient,Asymptotic  worst  case  time  and  space  complexity
851,851,In C learn for  Programming ARRAY  SEARCH  SEQUENCE NUMBERS  PERFECT NUMBBERS  FIBONOCCI etc  Quries on STRINGS  MACRO especially,Number representations and computer  arithmetic
852,852,In C learn for  Programming ARRAY SEARCH SEQUENCE NUMBERS PERFECT   NUMBBERS FIBONOCCI etc Quries on STRINGS  MACRO especially,Number representations and computer  arithmetic
853,853,In second section Mostly they give simple program and asks it op only This section very easy guys You need to concentrate loop control  pointers  structure,data?path and control unit
854,854,In fourth section  we want to write 2 C programs and 2 java programs and there is also a online compiler by using this you can compile your code and produce the op In some pgm they will give main functions and input initialization also you should not change those,main  memory  and  secondary  storage
855,855,write a program for palindrome  array of two dimensional total program in 1 minute,Arrays
856,856,What is queue Write a program to delete an element from a queue using arrays,queues
857,857,In this section most questions were based in C and few in C A small program was given and asked to find out error or output,dynamic programming and divide?and?conquer
858,858,In written most were eliminated in this round In this round basic programming knowledge was tested We were asked about OOPs concept and asked to write some simple programs in C  C,dynamic programming and divide?and?conquer
859,859,In Microprocessor  mainly 8086  in detail with programming  and find the error in the program  or the,dynamic programming and divide?and?conquer
860,860,In Communications PCM  Quantization  how to solve quantization error  why is modulation required  Companding In computer networks they asked about PING  ICMP  TCP UDP In Microprocessor  mainly 8086  in detail with programming  and find the error in the program  or the amount of memory allocated Instruction Queue of 8086  memory size required to store 8bit  8bit multiplication Expect grilling in C programming during interview Even C,Number representations and computer  arithmetic
861,861,In C programming a expression contains relational operators  assignment operators and arithmetic operators if parentheses is absent then execution follows,Number representations and computer  arithmetic
862,862,In that 16 from DBMS 5 from Data structures 9 from Networking   20 programming questions in cc and 50 Aptitude ques,dynamic programming and divide?and?conquer
863,863,In Technical he will ask u abt sorting and basic C programs and some logical questions,sorting
864,864,In Technical 1 they asked very basic questions on computer programming like what is inheritance  what is data structure Then they asked me my preferable computer language  I told Java I was from CSE background,Number representations and computer  arithmetic
865,865,What   is the reason of the refresh operation in dynamic RAMs ,dynamic programming and divide?and?conquer
866,866,What   is the reason of the refresh operation in dynamic RAMs ,dynamic programming and divide?and?conquer
867,867,What is the output of the above program segment ,dynamic programming and divide?and?conquer
868,868,What is the output of the above program segment ,dynamic programming and divide?and?conquer
869,869,In the technical section the questions were from oops  Inheritance and static functions On isa and hasa relationship There were also some programming problems with a given solution we need to analyse the solution and answer from the options like ,dynamic programming and divide?and?conquer
870,870,where as CPP they asked more questions on programs related to pointer in class this is also not that much easy Because they want to filter the people there were around 600 people out that only 52 are short listed So my advise is that do alot of hard work  so u get throug it,dynamic programming and divide?and?conquer
871,871,Write a program to print Fibonacci series,dynamic programming and divide?and?conquer
872,872,Write a program to swap two variables without a temporary variable,dynamic programming and divide?and?conquer
873,873,In the Interview round  they asked all basics of C  C  Java About our project and we have to explain They asked questions on DBMS like difference between Dbms and RDbms Also  they asked the latest technology and he asked some personal questions As I am a Cse student  I felt it easy and I done with my Technical round To my friends  some Interviewer asked some programs and logics in C program Prepare the basics and some programs the interviewer usually asks,dynamic programming and divide?and?conquer
874,874,Write a program for inheritance I have done it and then technical interviewer tells me what the projects we are doing here and tell me the technologies we are done here,dynamic programming and divide?and?conquer
875,875,In technical round they asked me everything about what I mentioned in my resume like SQL  C  C  Java etc I was asked to write programs and even queries which were simple,dynamic programming and divide?and?conquer
876,876,In Written 30 question were from aptitude which was all from R s agarwal and time period was 30 min After this they taken the paper and gives us the technical part which was also having 30 questions and of duration 30 min It was all about manufacturing science  thermo  heat transfer  machine dynamics pulleys  enough to prepare from RK JAIN OBJECTIVE TYPE book Friends its a great company to start your carrier so be serious and dont miss the opportunity,Asymptotic  worst  case  time  and  space  complexity
877,877,How to be on par with technology after 5 years The constraints given were time and financial conditions The issue was if a training program for all the employees was considered  then it would waste the time and financial resources So what are your solutions for it  How would you be on par with technology after 5 years ,Asymptotic  worst  case  time  and  space  complexity
878,878,Write the programs for the following problems in C,dynamic programming and divide?and?conquer
879,879,in questions 8 to 12 find the values of a and b at the end of the execution of the program,dynamic programming and divide?and?conquer
880,880,In Technical interview they asked very simple and basic question to me as I am from ECE background They are expecting at least C language from ECE guys He asked me to write the program for Palindrome and String reverse and to explain my final year project He also asked some basic electronics question I cleared this round,dynamic programming and divide?and?conquer
881,881,In CProgramming surely they will cover topics like sorting and output of programs  mostly they give theory part,sorting
882,882,Write a program to reverse a string  reverse a number  to find nth prime no   how does c work  live example of polymorphism etc They mainly check your communication  confidence and basic domain knowledge,Number representations and computer  arithmetic
883,883,In that they have asked to write a programs you can use any language C  C  Java,dynamic programming and divide?and?conquer
884,884,In second section they have asked write a programs you can use any language C  C  Java,dynamic programming and divide?and?conquer
885,885,In technical interview extc guys were asked questions on basics of electronics and basics of oops and few programs like PRIME NOS PALINDROME and other basic programs Extc people brush up your basic electronics knowledgeAnd for comps guys their technical lasted for about 20mins and they were asked questions on RDBMS JAVA C Cand all what they had throughout their curriculum,dynamic programming and divide?and?conquer
886,886,what are the contents of the Program counter and the stack contents,stacks
887,887,Explain the concepts of Objectoriented programming  Inheritance,dynamic programming and divide?and?conquer
888,888,which is fastest ipc and why semaphoresfor reason please go through some books like Unix system programming by batch a program is given with 100 lines of code and another program also with 100 lines of code  both have to executed and first program with 50 lines first then second has to be started and after second finishses it s 50 lines first process has to be started which inter process communication you use,dynamic programming and divide?and?conquer
889,889,When the program counter is incremented in the instruction cycle,Instruction pipelining
890,890,what does the following program do ,dynamic programming and divide?and?conquer
891,891,In technical I was asked to write a program swaping of 2 nos without using variable  chech whether a no is prime or not,dynamic programming and divide?and?conquer
892,892,In some panel they were asked to write reverse a string without using string func  pick up vowels in a string  asked to find out the error in the programs with functions So be prepare  especially for IT students technical round is the elimination round,dynamic programming and divide?and?conquer
893,893,In technical I was asked to write a program swaping of 2 nos without using variable  check whether a no is prime or not,dynamic programming and divide?and?conquer
894,894,In some panel they were asked to write reverse a string without using string func  pick up vowels in a string  asked to find out the error in the programs with functions So be prepare  especially for IT students technical round is the elimination round,dynamic programming and divide?and?conquer
895,895,If you are from any other branch they will ask some question on C program and SQL This round is not so tough If you have cleared aptitude test then 80 chances will be selection,dynamic programming and divide?and?conquer
896,896,In my TR there is only one interviewer  who ask me about OOPS in Java I told him everything about OOPS by taking simple programs and explained about polymorphism  inheritance  interface Then he ask me about my final year project I explained about my project in brief Then he ask me about my village and all Finally he told me I am done with my questions I am quite impress with you Then he told me that give HR Interview properly,dynamic programming and divide?and?conquer
897,897,When this discussion was over he gave me a sequence that I had to print in the program  the sequence was  1  89  98  37  5  I was unable to find the logic and I left the problem,dynamic programming and divide?and?conquer
898,898,What is the name of the programming technique  which emphasizes breaking large and complex tasks into successively smaller sections,Asymptotic  worst  case  time  and  space  complexity
899,899,In PI questions were asked about family background  why choose IT field  how was the preplacement talk useful  basic questions from C and C like what is the difference between the 2  what is stack and queue  program of sorting technique Do mention if you have a problem with relocation as they were asking every individual about the preference of Chennai or Pune Some students were asked from their BTech papers so prepare your domain as well,stacks
900,900,write an code for dynamic allocation of array,dynamic programming and divide?and?conquer
901,901,In C  Data Structure having 30 questions from to exhibit ouput from data structure  swap program  macros  Infix and Prefix notations,dynamic programming and divide?and?conquer
902,902,In first Technical they ask basic from C  C  DBMS  Java depends on your area of interest Also  They ask to write some program and query like Fabes series  prime number and DBMS Query,Number representations and computer  arithmetic
903,903,What all the programming languages do u know,dynamic programming and divide?and?conquer
904,904,Write the logic of the program finding out no of vowels in a string given by user,dynamic programming and divide?and?conquer
905,905,In both interview they ask questions from CC  Java  OS  Data structure and algorithms  Microprocessors and compiler constructions With this  they also asked me to develop more than 6 to 8 programs You can develop all programs in 5 to 7 minutes But after writing program they asked to find its complexity and try to reduce the complexity and write the program again In this way it took almost 15 to 20 min for each program Some took less than 15 minutes also,Asymptotic  worst  case  time  and  space  complexity
906,906,In unmanaged environments the compiler and linker directly compile the source code in to native instructions that are targeted at a specific processor The disadvantage of this process is that each time you want to run your executable on a different platform you will have to recompile the code using a compiler and linker that will compile the code that is targeted at the specific hardware This means that each time you want your application to run on a different platform  you will have to ship the compiled instructions again and again As this leads to compiling and maintaining multiple versions of the same application  the companies try to create a more generalized compiled version in order to target most of the environments This process is known as the Lowest Common Denominator approach This leads to a more generalized program which is not optimized properly and does not take advantages of the underlying hardware infrastructure processor  cache  etc Because the CLR supplies one or more Just in Time Compiler for each computer architecture it supports  the same set of MSIL can be JITcompiled and run on any supported architecture,Number representations and computer  arithmetic
907,907,write the program to clean a stair case in any building,Asymptotic  worst  case  time  and  space  complexity
908,908,In technical round  I was asked about the properties of OOPS I was given a program in which you have to print the characters of a string whose number of occurrence is more than 2 SQL query for second highest salary from an employee table was also asked Then I tried to convince the interviewer that I am very much interested in joining Mindtree He was very frank and told me about some of the projects they are working on He asked about my strength and weakness I asked about his journey in Mindtree and I also asked him to tell me how my interview went  in reply to which he said it went pretty well Everyone was eligible for the HR round In HR interview  he asked me about my family background  places in India where I had visited  best and worst thing about the college etc,Number representations and computer  arithmetic
909,909,In programming  prepare problems on patterns  strings and just focus on logic of the program,dynamic programming and divide?and?conquer
910,910,In the technical interview main focus was on the basic programs and our academic project Few of my friends were asked questions from OS  Network Security also They informed us about the technical results after 15 minutes After this I was called for the HR interview where they asked me self introduction and whether I was willing to relocate for which I answered positively,main  memory  and  secondary  storage
911,911,In this test we were given two programming questions one easy and another one average Dont try to solve both the questions Since the time limit is less so just try to develop the logic of the problem and solve at least one problem completely and other one just code the logic part However you need to be a good coder in order to crack this test,Asymptotic  worst  case  time  and  space  complexity
912,912,In this round they were asking about your BTech projects and basic questions on C  C  Data Structure and JAVA Also they will ask you to write a complete program with output on any problem like factorial number using array  Matrix multiplication  linked list  Operator Overloading  Inheritance  etc So to crack this round you need to prepare well the basics as well some of important interview problems,Number representations and computer  arithmetic
913,913,Why your communication skills are weak Yes sir I do agree but I can say that I have improved a lot compared to previous month So what have you done to improve your communication skills  I used to talk to friends and relatives in English whenever there is any possibility and they even say that you have improved a lot compared to previous Ok thats fine Then comes technical qsns like how did you done your program yesterday  I have done my best in given time How many times you have compiled it I have done 34 times But report says that You have done 13 times Yes sir I have done it as there might b small editings Oh Kk are there any errors Yes sir one or two But I have tried it in a different manner after going home I have shown it by writing on paper and explained how it works He was impressed He asked some questions on that I have answered them by the knowledge what I have Ok thats fine,Asymptotic  worst  case  time  and  space  complexity
914,914,In programming Apti  they ask to write programs by giving an example,dynamic programming and divide?and?conquer
915,915,Write a program to input an integer and,dynamic programming and divide?and?conquer
916,916,write a program which accepts ip into an array of letters,Arrays
917,917,In Interview they are asking to explain the program you have written and also about one of your intersting subject HR questions are coolTell me about yourself and family,dynamic programming and divide?and?conquer
918,918,In Interview they are asking to explain the program you have written and also about one of your intersting subject HR questions are coolTell me,dynamic programming and divide?and?conquer
919,919,what is AM FM CDMAwhen i told that codes are orthogonal in CDMA than he asked what is orthogonalitywhy do AM waves propogate farther than fmwhat happens in GSMie fdma or tdma Few people were questioned on dsp c programs orand there projects,dynamic programming and divide?and?conquer
920,920,Who is the global brand ambassador of motorola Interview QuestionsTell us about yourself Describe and give functions of layers in internetapplication transport etc what happens in cyclic redundancy chekthan he asked do you know sliding window protocol ansno what is AM FM CDMAwhen i told that codes are orthogonal in CDMA than he asked what is orthogonalitywhy do AM waves propogate farther than fmwhat happens in GSMie fdma or tdma Few people were questioned on dsp c programs orand there projects,dynamic programming and divide?and?conquer
921,921,what is error in the above program,dynamic programming and divide?and?conquer
922,922,Write the program of fibanocci series,dynamic programming and divide?and?conquer
923,923,In the first round they have asked from C  Java  C  Data Structure and DBMS The questions are conceptual and if you have the concept clear then it will be easy for you The questions are like representation of tree or linked list using C  SQL query like joining  complexity analysis of a C program  any C program  method overloading from java  use of super keyword in java  why we use Btree  string length calculation using pointer  etc,Number representations and computer  arithmetic
924,924,Explain dynamic memory allocation 4 Marks,Memory  hierarchy
925,925,Can one use dynamic SQL within PLSQL OR Can you use a DDL in a procedure  How ,dynamic programming and divide?and?conquer
926,926,what s CLASS and y v need it in programming,dynamic programming and divide?and?conquer
927,927,In second type  u will be given a PROGRAM MODULE and questions based on that U will need to find the errors in the module  remove the errors  predict the output  detection and removal of unnecessary variables etc Again  the questions are more logical than conceptual The module will be written in simple English and no particular language will be followed So Non CSIT students should not feel that these questions are meant for CSIT students only although I personally feel that CSIT students will have an extra bit of edge in solving these questions,dynamic programming and divide?and?conquer
928,928,What is recursion Give an example Write the program for it,dynamic programming and divide?and?conquer
929,929,How to delete variables that are dynamically allocated,dynamic programming and divide?and?conquer
930,930,In technical section questions were on AnalogMOSFETS  BJTS  Qpoints  Opamps Digital electronics  CCEmbedded C on bit operations  dynamic memory allocation  RTOS  Control Systems  etc,fixed and floating point
931,931,In technical total there were 4 pannels Most of the people were asked mainly C some basic programs like fibonacci sequence polyndrome  matrix multiplication etc,dynamic programming and divide?and?conquer
932,932,In C language concentrate more on storage classes Auto  register  static  globalThey are given one program on storage classes better to read balaguruswamy,main  memory  and  secondary  storage
